sample	 AHL	 IPTG	 rep	 m_GREEN	 sd_GREEN	 m_RED	 sd_mCherry
N	 0	 0	 1	 558.04632507771	 93.5193632325402	 293.005615160934	 39.6372182924356
N	 0	 0.0625	 1	 569.551790999082	 105.137036455216	 415.48004898459	 57.6530382186192
N	 0	 0.125	 1	 561.228070175439	 106.125291366757	 431.963270749974	 57.6556867244615
N	 0	 0.25	 1	 559.406572964035	 110.225647133463	 447.77883422902	 59.0002432485242
N	 0	 0.5	 1	 568.243223366253	 114.034428076756	 447.064719478882	 60.7866716711229
N	 0	 1	 1	 574.687707641196	 112.939966587595	 456.330357142857	 61.8835599959718
N	 0.003125	 0	 1	 642.227040816327	 90.9737549383266	 290.969285714286	 39.530492512095
N	 0.003125	 0.0625	 1	 652.338629382481	 99.5140759579106	 392.564770681072	 58.2152044204327
N	 0.003125	 0.125	 1	 655.470352817272	 103.532535094431	 413.463612427593	 59.1001292453433
N	 0.003125	 0.25	 1	 642.925476968483	 106.259886277025	 427.26046168441	 59.1463122547757
N	 0.003125	 0.5	 1	 539.900558894865	 171.446392052196	 484.610671728356	 61.22770233672
N	 0.003125	 1	 1	 468.643440504497	 157.784390541336	 540.590613046625	 63.5423264980843
N	 0.00625	 0	 1	 678.040671792796	 93.6120288464441	 286.834682314852	 38.4512815048842
N	 0.00625	 0.0625	 1	 709.634710234279	 99.8072782701363	 397.135737772298	 57.8562331557547
N	 0.00625	 0.125	 1	 712.227324321535	 99.5099417348759	 404.242699411825	 58.2030387737247
N	 0.00625	 0.25	 1	 687.015067079463	 107.538322682241	 422.748400412797	 57.3547289185693
N	 0.00625	 0.5	 1	 451.999590373784	 173.045940671227	 545.344802867383	 73.539538402091
N	 0.00625	 1	 1	 429.259775416082	 147.890705171133	 583.133747744135	 86.431836764867
N	 0.0125	 0	 1	 757.675486104945	 147.907793594325	 284.83663322383	 39.1221527368542
N	 0.0125	 0.0625	 1	 740.023384183059	 107.975612370366	 391.099658771578	 57.5991628329134
N	 0.0125	 0.125	 1	 748.916239831274	 105.283918571856	 407.392387265241	 58.3803817887292
N	 0.0125	 0.25	 1	 721.888550238748	 137.812353368147	 431.932032916794	 61.7989736211209
N	 0.0125	 0.5	 1	 412.962681409813	 126.999639221218	 609.524632244052	 99.2678192129998
N	 0.0125	 1	 1	 424.568834212068	 123.443004543607	 616.880296817028	 103.136586512182
N	 0.025	 0	 1	 739.139598540146	 239.377611243698	 282.553908150852	 40.2904685982649
N	 0.025	 0.0625	 1	 781.01147651654	 141.410401262064	 394.68521554634	 60.7853696504035
N	 0.025	 0.125	 1	 784.839041754859	 146.682061690809	 408.740138541466	 62.4249882692477
