sample	AHL	IPTG	gate	fluo	mean
G	0	0	1	GREEN	545.25
G	0	0	1	RED	295.5
G	0	0.0625	1	GREEN	542.333333333333
G	0	0.0625	1	RED	392
G	0	0.125	1	GREEN	544.25
G	0	0.125	1	RED	415
G	0	0.25	1	GREEN	545
G	0	0.25	1	RED	433.333333333333
G	0	0.5	1	GREEN	540.75
G	0	0.5	1	RED	438.5
G	0	1	1	GREEN	553.5
G	0	1	1	RED	451.25
G	0.003125	0	1	GREEN	619.625
G	0.003125	0	1	RED	289.5
G	0.003125	0.0625	1	GREEN	615.25
G	0.003125	0.0625	1	RED	373.25
G	0.003125	0.125	1	GREEN	613.25
G	0.003125	0.125	1	RED	391.25
G	0.003125	0.25	1	GREEN	603.25
G	0.003125	0.25	1	RED	406.5
G	0.003125	0.5	1	GREEN	574.25
G	0.003125	0.5	1	RED	443.75
G	0.003125	1	1	GREEN	556.75
G	0.003125	1	1	RED	502.5
G	0.00625	0	1	GREEN	672.5
G	0.00625	0	1	RED	290.75
G	0.00625	0.0625	1	GREEN	669
G	0.00625	0.0625	1	RED	367.75
G	0.00625	0.125	1	GREEN	666.25
G	0.00625	0.125	1	RED	379
G	0.00625	0.25	1	GREEN	649.75
G	0.00625	0.25	1	RED	391.25
G	0.00625	0.5	1	GREEN	607.5
G	0.00625	0.5	1	RED	469.25
G	0.00625	1	1	GREEN	629.25
G	0.00625	1	1	RED	549.5
G	0.0125	0	1	GREEN	764.5
G	0.0125	0	1	RED	286.25
G	0.0125	0.0625	1	GREEN	723.75
G	0.0125	0.0625	1	RED	357.25
G	0.0125	0.125	1	GREEN	705.5
G	0.0125	0.125	1	RED	369
G	0.0125	0.25	1	GREEN	704.75
G	0.0125	0.25	1	RED	397.5
G	0.0125	0.5	1	GREEN	680.5
G	0.0125	0.5	1	RED	544
G	0.0125	1	1	GREEN	692.75
G	0.0125	1	1	RED	616.25
G	0.025	0	1	GREEN	806.5
G	0.025	0	1	RED	287.75
G	0.025	0.0625	1	GREEN	769.25
G	0.025	0.0625	1	RED	357.75
G	0.025	0.125	1	GREEN	763.75
G	0.025	0.125	1	RED	371.25
G	0.025	0.25	1	GREEN	731.75
G	0.025	0.25	1	RED	394.75
G	0.025	0.5	1	GREEN	620
G	0.025	0.5	1	RED	552.666666666667
G	0.025	1	1	GREEN	634.666666666667
G	0.025	1	1	RED	595
G	0.05	0	1	GREEN	705.25
G	0.05	0	1	RED	286.5
G	0.05	0.0625	1	GREEN	805.5
G	0.05	0.0625	1	RED	374.25
G	0.05	0.125	1	GREEN	806.5
G	0.05	0.125	1	RED	381.75
G	0.05	0.25	1	GREEN	811
G	0.05	0.25	1	RED	436.625
R	0.003125	0.25	2	GREEN	339
R	0.003125	0.25	2	RED	489.5
R	0.003125	0.5	2	GREEN	336.75
R	0.003125	0.5	2	RED	497
R	0.003125	1	2	GREEN	341.5
R	0.003125	1	2	RED	509.5
R	0.00625	0.125	2	GREEN	341
R	0.00625	0.125	2	RED	499.5
R	0.00625	0.25	2	GREEN	337
R	0.00625	0.25	2	RED	511.5
R	0.00625	0.5	2	GREEN	340.5
R	0.00625	0.5	2	RED	530
R	0.00625	1	2	GREEN	349
R	0.00625	1	2	RED	543.5
R	0.0125	0.125	2	GREEN	341
R	0.0125	0.125	2	RED	523
R	0.0125	0.25	2	GREEN	349
R	0.0125	0.25	2	RED	543.5
R	0.0125	0.5	2	GREEN	361.5
R	0.0125	0.5	2	RED	566
R	0.0125	1	2	GREEN	376
R	0.0125	1	2	RED	581
R	0.025	0.0625	2	GREEN	355.5
R	0.025	0.0625	2	RED	530.5
R	0.025	0.125	2	GREEN	351.5
R	0.025	0.125	2	RED	566
R	0.025	0.25	2	GREEN	367
R	0.025	0.25	2	RED	589.5
R	0.025	0.5	2	GREEN	384.5
R	0.025	0.5	2	RED	619
R	0.025	1	2	GREEN	411.5
R	0.025	1	2	RED	644.5
R	0.05	0.0625	2	GREEN	368
R	0.05	0.0625	2	RED	589.5
R	0.05	0.125	2	GREEN	387.5
R	0.05	0.125	2	RED	633
R	0.05	0.25	2	GREEN	403.5
R	0.05	0.25	2	RED	663
R	0.05	0.5	2	GREEN	415.5
R	0.05	0.5	2	RED	689
R	0.05	1	2	GREEN	419
R	0.05	1	2	RED	703
