sample	AHL	IPTG	gate	fluo	mean
G	0	0	1	GREEN	880.666666666667
G	0	0	1	RED	304.666666666667
G	0	0.0625	1	GREEN	876.333333333333
G	0	0.0625	1	RED	440
G	0	0.125	1	GREEN	872.333333333333
G	0	0.125	1	RED	453
G	0	0.25	1	GREEN	865
G	0	0.25	1	RED	486.333333333333
G	0	0.5	1	GREEN	824
G	0	0.5	1	RED	525.666666666667
G	0	1	1	GREEN	811.666666666667
G	0	1	1	RED	539
G	0.003125	0	1	GREEN	869.666666666667
G	0.003125	0	1	RED	304
G	0.003125	0.0625	1	GREEN	857
G	0.003125	0.0625	1	RED	419
G	0.003125	0.125	1	GREEN	853
G	0.003125	0.125	1	RED	437
G	0.003125	0.25	1	GREEN	847
G	0.003125	0.25	1	RED	459.666666666667
G	0.003125	0.5	1	GREEN	804.833333333333
G	0.003125	0.5	1	RED	511.333333333333
G	0.003125	1	1	GREEN	699.5
G	0.003125	1	1	RED	563
G	0.00625	0	1	GREEN	865.666666666667
G	0.00625	0	1	RED	302.666666666667
G	0.00625	0.0625	1	GREEN	849
G	0.00625	0.0625	1	RED	412
G	0.00625	0.125	1	GREEN	845.666666666667
G	0.00625	0.125	1	RED	427.333333333333
G	0.00625	0.25	1	GREEN	838.666666666667
G	0.00625	0.25	1	RED	453
G	0.00625	0.5	1	GREEN	797
G	0.00625	0.5	1	RED	500
G	0.00625	1	1	GREEN	696.333333333333
G	0.00625	1	1	RED	580.333333333333
G	0.0125	0	1	GREEN	866.666666666667
G	0.0125	0	1	RED	301.333333333333
G	0.0125	0.0625	1	GREEN	844
G	0.0125	0.0625	1	RED	399
G	0.0125	0.125	1	GREEN	836.666666666667
G	0.0125	0.125	1	RED	417.666666666667
G	0.0125	0.25	1	GREEN	829.666666666667
G	0.0125	0.25	1	RED	437
G	0.0125	0.5	1	GREEN	795.833333333333
G	0.0125	0.5	1	RED	490.666666666667
G	0.0125	1	1	GREEN	723
G	0.0125	1	1	RED	610.166666666667
G	0.025	0	1	GREEN	875.333333333333
G	0.025	0	1	RED	297.666666666667
G	0.025	0.0625	1	GREEN	835
G	0.025	0.0625	1	RED	377.666666666667
G	0.025	0.125	1	GREEN	832.666666666667
G	0.025	0.125	1	RED	398.833333333333
G	0.025	0.25	1	GREEN	831
G	0.025	0.25	1	RED	434
G	0.025	0.5	1	GREEN	790.333333333333
G	0.025	0.5	1	RED	485
G	0.025	1	1	GREEN	735
G	0.025	1	1	RED	623.5
G	0.05	0	1	GREEN	870.666666666667
G	0.05	0	1	RED	301
G	0.05	0.0625	1	GREEN	836.666666666667
G	0.05	0.0625	1	RED	352
G	0.05	0.125	1	GREEN	828.333333333333
G	0.05	0.125	1	RED	366.666666666667
G	0.05	0.25	1	GREEN	824.333333333333
G	0.05	0.25	1	RED	405.666666666667
G	0.05	0.5	1	GREEN	808
G	0.05	0.5	1	RED	470.5
R	0	0.125	2	GREEN	416.166666666667
R	0	0.125	2	RED	733.333333333333
R	0	0.25	2	GREEN	384.5
R	0	0.25	2	RED	699
R	0	0.5	2	GREEN	371.666666666667
R	0	0.5	2	RED	656.666666666667
R	0	1	2	GREEN	362.5
R	0	1	2	RED	630.666666666667
R	0.003125	0.0625	2	GREEN	377.25
R	0.003125	0.0625	2	RED	745.25
R	0.003125	0.125	2	GREEN	334
R	0.003125	0.125	2	RED	604.666666666667
R	0.003125	0.25	2	GREEN	319.666666666667
R	0.003125	0.25	2	RED	572.666666666667
R	0.003125	0.5	2	GREEN	320.333333333333
R	0.003125	0.5	2	RED	572.666666666667
R	0.003125	1	2	GREEN	327.666666666667
R	0.003125	1	2	RED	579
R	0.00625	0.0625	2	GREEN	380.666666666667
R	0.00625	0.0625	2	RED	739
R	0.00625	0.125	2	GREEN	315.666666666667
R	0.00625	0.125	2	RED	560.666666666667
R	0.00625	0.25	2	GREEN	317.666666666667
R	0.00625	0.25	2	RED	570.333333333333
R	0.00625	0.5	2	GREEN	318.333333333333
R	0.00625	0.5	2	RED	580
R	0.00625	1	2	GREEN	325.666666666667
R	0.00625	1	2	RED	589
R	0.0125	0.0625	2	GREEN	361.833333333333
R	0.0125	0.0625	2	RED	661.333333333333
R	0.0125	0.125	2	GREEN	312.333333333333
R	0.0125	0.125	2	RED	576.666666666667
R	0.0125	0.25	2	GREEN	315
R	0.0125	0.25	2	RED	590.333333333333
R	0.0125	0.5	2	GREEN	314.333333333333
R	0.0125	0.5	2	RED	600
R	0.0125	1	2	GREEN	323.333333333333
R	0.0125	1	2	RED	616
R	0.025	0	2	GREEN	285.5
R	0.025	0	2	RED	679.5
R	0.025	0.0625	2	GREEN	329.666666666667
R	0.025	0.0625	2	RED	589
R	0.025	0.125	2	GREEN	312.333333333333
R	0.025	0.125	2	RED	609
R	0.025	0.25	2	GREEN	312.666666666667
R	0.025	0.25	2	RED	616.666666666667
R	0.025	0.5	2	GREEN	312
R	0.025	0.5	2	RED	626.666666666667
R	0.025	1	2	GREEN	313.666666666667
R	0.025	1	2	RED	637.666666666667
R	0.05	0	2	GREEN	370.75
R	0.05	0	2	RED	661.25
R	0.05	0.0625	2	GREEN	319
R	0.05	0.0625	2	RED	616.666666666667
R	0.05	0.125	2	GREEN	304.666666666667
R	0.05	0.125	2	RED	641
R	0.05	0.25	2	GREEN	297.666666666667
R	0.05	0.25	2	RED	649
R	0.05	0.5	2	GREEN	297.333333333333
R	0.05	0.5	2	RED	651.333333333333
R	0.05	1	2	GREEN	301.666666666667
R	0.05	1	2	RED	658.333333333333
