sample	 AHL	 IPTG	 fluo	 mean	 sd
G	 0	 0	 GREEN	 529.23795002951	 NA
G	 0	 0	 RED	 288.158272673618	 NA
G	 0	 0.0625	 GREEN	 504.115520680984	 NA
G	 0	 0.0625	 RED	 389.443140122649	 NA
G	 0	 0.125	 GREEN	 537.578169013064	 NA
G	 0	 0.125	 RED	 408.958488166311	 NA
G	 0	 0.25	 GREEN	 507.307242896468	 NA
G	 0	 0.25	 RED	 417.898352107161	 NA
G	 0	 0.5	 GREEN	 531.166803976477	 NA
G	 0	 0.5	 RED	 433.527434040822	 NA
G	 0	 1	 GREEN	 549.969664569989	 NA
G	 0	 1	 RED	 449.790022986595	 NA
G	 0.003125	 0	 GREEN	 618.597991890326	 NA
G	 0.003125	 0	 RED	 285.111701100599	 NA
G	 0.003125	 0.0625	 GREEN	 600.770657379364	 NA
G	 0.003125	 0.0625	 RED	 372.092576340857	 NA
G	 0.003125	 0.125	 GREEN	 597.421639976316	 NA
G	 0.003125	 0.125	 RED	 389.760631177926	 NA
G	 0.003125	 0.25	 GREEN	 591.257997040656	 NA
G	 0.003125	 0.25	 RED	 406.142960135631	 NA
G	 0.003125	 0.5	 GREEN	 557.55175839407	 NA
G	 0.003125	 0.5	 RED	 432.714977315986	 NA
G	 0.003125	 1	 GREEN	 480.471525845696	 NA
G	 0.003125	 1	 RED	 476.245891210239	 NA
G	 0.00625	 0	 GREEN	 707.415078072612	 NA
G	 0.00625	 0	 RED	 286.292077785228	 NA
G	 0.00625	 0.0625	 GREEN	 658.168270774497	 NA
G	 0.00625	 0.0625	 RED	 359.404810392735	 NA
G	 0.00625	 0.125	 GREEN	 647.062486916641	 NA
G	 0.00625	 0.125	 RED	 369.630508351148	 NA
G	 0.00625	 0.25	 GREEN	 638.356644602322	 NA
G	 0.00625	 0.25	 RED	 376.82321616277	 NA
G	 0.00625	 0.5	 GREEN	 504.255719682521	 NA
G	 0.00625	 0.5	 RED	 432.225115560028	 NA
G	 0.00625	 1	 GREEN	 437.551018243882	 NA
G	 0.00625	 1	 RED	 480.697360101683	 NA
G	 0.0125	 0	 GREEN	 772.797066946005	 NA
G	 0.0125	 0	 RED	 280.228835349014	 NA
G	 0.0125	 0.0625	 GREEN	 703.871351594969	 NA
G	 0.0125	 0.0625	 RED	 338.1006657591	 NA
G	 0.0125	 0.125	 GREEN	 677.390773984516	 NA
G	 0.0125	 0.125	 RED	 348.802907872934	 NA
G	 0.0125	 0.25	 GREEN	 681.125537759443	 NA
G	 0.0125	 0.25	 RED	 388.069543699176	 NA
G	 0.0125	 0.5	 GREEN	 423.067665133042	 NA
G	 0.0125	 0.5	 RED	 520.018497070945	 NA
G	 0.0125	 1	 GREEN	 412.789111120845	 NA
G	 0.0125	 1	 RED	 557.28886649022	 NA
G	 0.025	 0	 GREEN	 873.993046541813	 NA
G	 0.025	 0	 RED	 286.117467086965	 NA
G	 0.025	 0.0625	 GREEN	 719.766006862671	 NA
G	 0.025	 0.0625	 RED	 350.82323789055	 NA
G	 0.025	 0.125	 GREEN	 705.469321894871	 NA
G	 0.025	 0.125	 RED	 359.751363815658	 NA
G	 0.025	 0.25	 GREEN	 613.066364905079	 NA
G	 0.025	 0.25	 RED	 378.749227162806	 NA
G	 0.025	 0.5	 GREEN	 327.243205916245	 NA
