sample	 AHL	 IPTG	 fluo	 gate	 mean	 sd
G	 0	 0	 GREEN	 1	 523.5	 13.4350288425444
G	 0	 0	 GREEN	 2	 NA	 NA
G	 0	 0	 RED	 1	 295	 4.24264068711928
G	 0	 0	 RED	 2	 NA	 NA
G	 0	 0.0625	 GREEN	 1	 499	 NA
G	 0	 0.0625	 GREEN	 2	 NA	 NA
G	 0	 0.0625	 RED	 1	 371	 NA
G	 0	 0.0625	 RED	 2	 NA	 NA
G	 0	 0.125	 GREEN	 1	 516.5	 13.4350288425444
G	 0	 0.125	 RED	 1	 403.5	 4.94974746830583
G	 0	 0.25	 GREEN	 1	 508	 NA
G	 0	 0.25	 GREEN	 2	 NA	 NA
G	 0	 0.25	 RED	 1	 417	 NA
G	 0	 0.25	 RED	 2	 NA	 NA
G	 0	 0.5	 GREEN	 1	 508.5	 17.6776695296637
G	 0	 0.5	 GREEN	 2	 NA	 NA
G	 0	 0.5	 RED	 1	 427	 4.24264068711928
G	 0	 0.5	 RED	 2	 NA	 NA
G	 0	 1	 GREEN	 1	 525.5	 26.1629509039023
G	 0	 1	 RED	 1	 442	 5.65685424949238
G	 0.003125	 0	 GREEN	 1	 584.5	 28.9913780286484
G	 0.003125	 0	 GREEN	 2	 NA	 NA
G	 0.003125	 0	 RED	 1	 288	 0
G	 0.003125	 0	 RED	 2	 NA	 NA
G	 0.003125	 0.0625	 GREEN	 1	 583.5	 9.19238815542512
G	 0.003125	 0.0625	 GREEN	 2	 NA	 NA
G	 0.003125	 0.0625	 RED	 1	 367	 12.7279220613579
G	 0.003125	 0.0625	 RED	 2	 NA	 NA
G	 0.003125	 0.125	 GREEN	 1	 581.5	 9.19238815542512
G	 0.003125	 0.125	 GREEN	 2	 NA	 NA
G	 0.003125	 0.125	 RED	 1	 384.5	 9.19238815542512
G	 0.003125	 0.125	 RED	 2	 NA	 NA
G	 0.003125	 0.25	 GREEN	 1	 574.5	 12.0208152801713
G	 0.003125	 0.25	 GREEN	 2	 NA	 NA
G	 0.003125	 0.25	 RED	 1	 400.5	 7.77817459305202
G	 0.003125	 0.25	 RED	 2	 NA	 NA
