sample	 AHL	 IPTG	 fluo	 maximun
G	 0	 0	 GREEN	 523.5
G	 0	 0	 RED	 295
G	 0	 0.0625	 GREEN	 499
G	 0	 0.0625	 RED	 371
G	 0	 0.125	 GREEN	 516.5
G	 0	 0.125	 RED	 403.5
G	 0	 0.25	 GREEN	 508
G	 0	 0.25	 RED	 417
G	 0	 0.5	 GREEN	 508.5
G	 0	 0.5	 RED	 427
G	 0	 1	 GREEN	 525.5
G	 0	 1	 RED	 442
G	 0.003125	 0	 GREEN	 584.5
G	 0.003125	 0	 RED	 288
G	 0.003125	 0.0625	 GREEN	 583.5
G	 0.003125	 0.0625	 RED	 367
G	 0.003125	 0.125	 GREEN	 581.5
G	 0.003125	 0.125	 RED	 384.5
G	 0.003125	 0.25	 GREEN	 574.5
G	 0.003125	 0.25	 RED	 400.5
G	 0.003125	 0.5	 GREEN	 546
G	 0.003125	 0.5	 RED	 475
G	 0.003125	 1	 GREEN	 508
G	 0.003125	 1	 RED	 489.5
G	 0.00625	 0	 GREEN	 652
G	 0.00625	 0	 RED	 291
G	 0.00625	 0.0625	 GREEN	 645.5
G	 0.00625	 0.0625	 RED	 355.5
G	 0.00625	 0.125	 GREEN	 633.5
G	 0.00625	 0.125	 RED	 364.5
G	 0.00625	 0.25	 GREEN	 626.5
G	 0.00625	 0.25	 RED	 370
G	 0.00625	 0.5	 GREEN	 544
G	 0.00625	 0.5	 RED	 492
G	 0.00625	 1	 GREEN	 547.5
G	 0.00625	 1	 RED	 505.5
G	 0.0125	 0	 GREEN	 726
G	 0.0125	 0	 RED	 286.5
G	 0.0125	 0.0625	 GREEN	 698.5
G	 0.0125	 0.0625	 RED	 336
G	 0.0125	 0.125	 GREEN	 668.5
G	 0.0125	 0.125	 RED	 345.5
G	 0.0125	 0.25	 GREEN	 678.5
G	 0.0125	 0.25	 RED	 383.5
G	 0.0125	 0.5	 GREEN	 656.5
G	 0.0125	 0.5	 RED	 518.5
G	 0.0125	 1	 GREEN	 692
G	 0.0125	 1	 RED	 586
G	 0.025	 0	 GREEN	 781
G	 0.025	 0	 RED	 287.5
G	 0.025	 0.0625	 GREEN	 722.5
G	 0.025	 0.0625	 RED	 349.5
G	 0.025	 0.125	 GREEN	 706
G	 0.025	 0.125	 RED	 358
G	 0.025	 0.25	 GREEN	 657.5
G	 0.025	 0.25	 RED	 477.75
G	 0.025	 0.5	 GREEN	 604.5
G	 0.025	 0.5	 RED	 532.5
G	 0.025	 1	 GREEN	 620.25
G	 0.025	 1	 RED	 584.5
G	 0.05	 0	 GREEN	 735
G	 0.05	 0	 RED	 284
G	 0.05	 0.0625	 GREEN	 756
G	 0.05	 0.0625	 RED	 385
G	 0.05	 0.125	 GREEN	 753
G	 0.05	 0.125	 RED	 400
G	 0.05	 0.25	 GREEN	 767
G	 0.05	 0.25	 RED	 580
G	 0.05	 0.5	 GREEN	 351
G	 0.05	 0.5	 RED	 649.5
G	 0.05	 1	 GREEN	 353.5
G	 0.05	 1	 RED	 664
G	 0.1	 0	 GREEN	 755
G	 0.1	 0	 RED	 285
G	 0.1	 0.0625	 GREEN	 751.5
G	 0.1	 0.0625	 RED	 336
G	 0.1	 0.125	 GREEN	 741
G	 0.1	 0.125	 RED	 329.5
G	 0.1	 0.25	 GREEN	 718
G	 0.1	 0.25	 RED	 506
G	 0.1	 0.5	 GREEN	 365
G	 0.1	 0.5	 RED	 544
G	 0.1	 1	 GREEN	 383
G	 0.1	 1	 RED	 560
G	 10	 0	 GREEN	 NA
G	 10	 0	 RED	 NA
G	 10	 0.0625	 GREEN	 867
G	 10	 0.0625	 RED	 540
G	 10	 0.125	 GREEN	 785
G	 10	 0.125	 RED	 466
G	 10	 0.25	 GREEN	 281
G	 10	 0.25	 RED	 710
G	 10	 0.5	 GREEN	 291.5
G	 10	 0.5	 RED	 748.5
G	 10	 1	 GREEN	 289.5
G	 10	 1	 RED	 750.5
R	 0	 0	 GREEN	 509
R	 0	 0	 RED	 293.5
R	 0	 0.0625	 GREEN	 520.5
R	 0	 0.0625	 RED	 389
R	 0	 0.125	 GREEN	 517.5
R	 0	 0.125	 RED	 408
R	 0	 0.25	 GREEN	 513.5
R	 0	 0.25	 RED	 424.5
R	 0	 0.5	 GREEN	 517
R	 0	 0.5	 RED	 436.5
R	 0	 1	 GREEN	 527.5
R	 0	 1	 RED	 445.5
R	 0.003125	 0	 GREEN	 593.25
R	 0.003125	 0	 RED	 298.5
R	 0.003125	 0.0625	 GREEN	 600.5
R	 0.003125	 0.0625	 RED	 379.5
R	 0.003125	 0.125	 GREEN	 586
R	 0.003125	 0.125	 RED	 398
R	 0.003125	 0.25	 GREEN	 549
R	 0.003125	 0.25	 RED	 489.5
R	 0.003125	 0.5	 GREEN	 532.5
R	 0.003125	 0.5	 RED	 497
R	 0.003125	 1	 GREEN	 536.5
R	 0.003125	 1	 RED	 509.5
R	 0.00625	 0	 GREEN	 644.5
R	 0.00625	 0	 RED	 297.5
R	 0.00625	 0.0625	 GREEN	 667
R	 0.00625	 0.0625	 RED	 381.5
R	 0.00625	 0.125	 GREEN	 601.5
R	 0.00625	 0.125	 RED	 499.5
R	 0.00625	 0.25	 GREEN	 595
R	 0.00625	 0.25	 RED	 511.5
R	 0.00625	 0.5	 GREEN	 611.5
R	 0.00625	 0.5	 RED	 531
R	 0.00625	 1	 GREEN	 637.75
R	 0.00625	 1	 RED	 569
R	 0.0125	 0	 GREEN	 715.75
R	 0.0125	 0	 RED	 296
R	 0.0125	 0.0625	 GREEN	 732.5
R	 0.0125	 0.0625	 RED	 393.5
R	 0.0125	 0.125	 GREEN	 636
R	 0.0125	 0.125	 RED	 523
R	 0.0125	 0.25	 GREEN	 698.5
R	 0.0125	 0.25	 RED	 543.5
R	 0.0125	 0.5	 GREEN	 694.5
R	 0.0125	 0.5	 RED	 590.75
R	 0.0125	 1	 GREEN	 708.5
R	 0.0125	 1	 RED	 620
