sample	 AHL	 IPTG	 fluo	 mean	 sd
G	 0	 0	 GREEN	 486	 0
G	 0	 0	 RED	 253	 0
G	 0	 0.0625	 GREEN	 495.5	 21.3619599600162
G	 0	 0.0625	 RED	 372	 25.4034118443435
G	 0	 0.125	 GREEN	 474	 13.856406460551
G	 0	 0.125	 RED	 390	 1.15470053837925
G	 0	 0.25	 GREEN	 472	 11.5470053837925
G	 0	 0.25	 RED	 402.5	 12.1243556529821
G	 0	 0.5	 GREEN	 465	 1.15470053837925
G	 0	 0.5	 RED	 414.5	 23.6713610367747
G	 0	 1	 GREEN	 470	 0
G	 0	 1	 RED	 439.5	 10.9696551146029
G	 0.003125	 0	 GREEN	 591	 0
G	 0.003125	 0	 RED	 268	 0
G	 0.003125	 0.0625	 GREEN	 558	 2.3094010767585
G	 0.003125	 0.0625	 RED	 345	 0
G	 0.003125	 0.125	 GREEN	 513	 1.15470053837925
G	 0.003125	 0.125	 RED	 370.5	 23.6713610367747
G	 0.003125	 0.25	 GREEN	 551.5	 21.3619599600162
G	 0.003125	 0.25	 RED	 387.5	 7.50555349946513
G	 0.003125	 0.5	 GREEN	 484.5	 8.66025403784439
G	 0.003125	 0.5	 RED	 416.5	 21.3619599600162
G	 0.003125	 1	 GREEN	 351	 6.92820323027551
G	 0.003125	 1	 RED	 458.5	 6.35085296108588
G	 0.00625	 0	 GREEN	 682	 0
G	 0.00625	 0	 RED	 288	 0
G	 0.00625	 0.0625	 GREEN	 617	 28.8675134594813
G	 0.00625	 0.0625	 RED	 328	 19.6299091524473
G	 0.00625	 0.125	 GREEN	 614	 21.9393102292058
G	 0.00625	 0.125	 RED	 347	 51.9615242270663
G	 0.00625	 0.25	 GREEN	 555	 34.6410161513775
G	 0.00625	 0.25	 RED	 360	 65.8179306876173
G	 0.00625	 0.5	 GREEN	 340.5	 19.0525588832576
G	 0.00625	 0.5	 RED	 397	 99.3042463006156
G	 0.00625	 1	 GREEN	 309	 2.3094010767585
G	 0.00625	 1	 RED	 413	 122.398257068201
G	 0.0125	 0	 GREEN	 809	 0
G	 0.0125	 0	 RED	 262	 0
G	 0.0125	 0.0625	 GREEN	 710	 88.9119414552024
G	 0.0125	 0.0625	 RED	 325.5	 22.5166604983954
G	 0.0125	 0.125	 GREEN	 627	 5.77350269189626
