sample	 AHL	 IPTG	 fluo	 mean	 sd
G	 0	 0	 GREEN	 236	 0
G	 0	 0	 RED	 3	 0
G	 0	 0.0625	 GREEN	 245.5	 21.3619599600162
G	 0	 0.0625	 RED	 122	 25.4034118443435
G	 0	 0.125	 GREEN	 224	 13.856406460551
G	 0	 0.125	 RED	 140	 1.15470053837925
G	 0	 0.25	 GREEN	 222	 11.5470053837925
G	 0	 0.25	 RED	 152.5	 12.1243556529821
G	 0	 0.5	 GREEN	 215	 1.15470053837925
G	 0	 0.5	 RED	 164.5	 23.6713610367747
G	 0	 1	 GREEN	 220	 0
G	 0	 1	 RED	 189.5	 10.9696551146029
G	 0.003125	 0	 GREEN	 341	 0
G	 0.003125	 0	 RED	 18	 0
G	 0.003125	 0.0625	 GREEN	 308	 2.3094010767585
G	 0.003125	 0.0625	 RED	 95	 0
G	 0.003125	 0.125	 GREEN	 263	 1.15470053837925
G	 0.003125	 0.125	 RED	 120.5	 23.6713610367747
G	 0.003125	 0.25	 GREEN	 301.5	 21.3619599600162
G	 0.003125	 0.25	 RED	 137.5	 7.50555349946513
G	 0.003125	 0.5	 GREEN	 234.5	 8.66025403784439
G	 0.003125	 0.5	 RED	 166.5	 21.3619599600162
G	 0.003125	 1	 GREEN	 101	 6.92820323027551
G	 0.003125	 1	 RED	 208.5	 6.35085296108588
G	 0.00625	 0	 GREEN	 432	 0
G	 0.00625	 0	 RED	 38	 0
G	 0.00625	 0.0625	 GREEN	 367	 28.8675134594813
G	 0.00625	 0.0625	 RED	 78	 19.6299091524473
G	 0.00625	 0.125	 GREEN	 364	 21.9393102292058
G	 0.00625	 0.125	 RED	 97	 51.9615242270663
G	 0.00625	 0.25	 GREEN	 305	 34.6410161513775
G	 0.00625	 0.25	 RED	 110	 65.8179306876173
G	 0.00625	 0.5	 GREEN	 90.5	 19.0525588832576
G	 0.00625	 0.5	 RED	 147	 99.3042463006156
G	 0.00625	 1	 GREEN	 59	 2.3094010767585
G	 0.00625	 1	 RED	 163	 122.398257068201
G	 0.0125	 0	 GREEN	 559	 0
G	 0.0125	 0	 RED	 12	 0
G	 0.0125	 0.0625	 GREEN	 460	 88.9119414552024
G	 0.0125	 0.0625	 RED	 75.5	 22.5166604983954
G	 0.0125	 0.125	 GREEN	 377	 5.77350269189626
G	 0.0125	 0.125	 RED	 76	 21.9393102292058
G	 0.0125	 0.25	 GREEN	 401	 28.8675134594813
G	 0.0125	 0.25	 RED	 114.5	 16.7431578064991
G	 0.0125	 0.5	 GREEN	 58.5	 6.35085296108588
G	 0.0125	 0.5	 RED	 251.5	 6.35085296108588
G	 0.0125	 1	 GREEN	 71.5	 27.1354626519124
G	 0.0125	 1	 RED	 278	 3.46410161513775
G	 0.025	 0	 GREEN	 623	 0
G	 0.025	 0	 RED	 33	 0
G	 0.025	 0.0625	 GREEN	 502	 105.077748992512
G	 0.025	 0.0625	 RED	 95	 0
G	 0.025	 0.125	 GREEN	 470	 106.232449530891
G	 0.025	 0.125	 RED	 95	 0
G	 0.025	 0.25	 GREEN	 179	 228.630706599092
G	 0.025	 0.25	 RED	 97.5	 2.88675134594813
G	 0.025	 0.5	 GREEN	 11	 6.92820323027551
