sample	 AHL	 IPTG	 gate	 mean	 sd
G	 0	 0	 GREEN	 0.170863663191029	 0
G	 0	 0	 RED	 0	 0
G	 0	 0.0625	 GREEN	 0.155880353064942	 0.00504050057967747
G	 0	 0.0625	 RED	 0.0151515151515152	 0.0174954627027159
G	 0	 0.125	 GREEN	 0.227117081026886	 0.0282845764973611
G	 0	 0.125	 RED	 0	 0
G	 0	 0.25	 GREEN	 0.174865818965021	 0.0415425805281422
G	 0	 0.25	 RED	 0.027933266530758	 0.0318954720082011
G	 0	 0.5	 GREEN	 0.215656083366748	 0.0445437141581134
G	 0	 0.5	 RED	 0.000103616205574552	 0.00011964568836175
G	 0	 1	 GREEN	 0.277506674372942	 0.0609147076088174
G	 0	 1	 RED	 0	 0
G	 0.003125	 0	 GREEN	 0.525391002123962	 0
G	 0.003125	 0	 RED	 0	 0
G	 0.003125	 0.0625	 GREEN	 0.432780837330299	 0.0302503509071795
G	 0.003125	 0.0625	 RED	 0.00015659012277521	 6.24081631444442e-05
G	 0.003125	 0.125	 GREEN	 0.424543426689293	 0.0275494172320861
G	 0.003125	 0.125	 RED	 0.000103777501037775	 0.000119831936319972
G	 0.003125	 0.25	 GREEN	 0.406897177606809	 0.0316848136795306
G	 0.003125	 0.25	 RED	 5.28262017960909e-05	 6.09984436544771e-05
G	 0.003125	 0.5	 GREEN	 0.33002462779784	 0.0397063026915461
G	 0.003125	 0.5	 RED	 0.0371220335656677	 0.00349305033459402
G	 0.003125	 1	 GREEN	 0.213191057953904	 0.0318469779152346
G	 0.003125	 1	 RED	 0.284117002891706	 0.0294735815773873
G	 0.00625	 0	 GREEN	 0.880927291886196	 0
G	 0.00625	 0	 RED	 0	 0
G	 0.00625	 0.0625	 GREEN	 0.716444370418091	 0.115098967483049
G	 0.00625	 0.0625	 RED	 0	 0
G	 0.00625	 0.125	 GREEN	 0.658026337991538	 0.0567322350252136
G	 0.00625	 0.125	 RED	 0	 0
G	 0.00625	 0.25	 GREEN	 0.613731816510748	 0.0405707790200384
G	 0.00625	 0.25	 RED	 0.00134023318410198	 0.00127746259014173
G	 0.00625	 0.5	 GREEN	 0.289876187702465	 0.048476891317187
G	 0.00625	 0.5	 RED	 0.264676389023529	 0.185284639855468
G	 0.00625	 1	 GREEN	 0.197671314471203	 0.0512312340022695
G	 0.00625	 1	 RED	 0.539670333590327	 0.232657615630963
G	 0.0125	 0	 GREEN	 0.976097514522426	 0
G	 0.0125	 0	 RED	 0	 0
G	 0.0125	 0.0625	 GREEN	 0.90712003892697	 0.0272197908709715
G	 0.0125	 0.0625	 RED	 0	 0
G	 0.0125	 0.125	 GREEN	 0.81254339018321	 0.0340108290186187
G	 0.0125	 0.125	 RED	 0.000231792947919058	 1.9088200256587e-05
G	 0.0125	 0.25	 GREEN	 0.815549621515971	 0.0609858930474626
G	 0.0125	 0.25	 RED	 0.0135412835152913	 0.00689771996565261
G	 0.0125	 0.5	 GREEN	 0.170216539565319	 0.0266722248737086
G	 0.0125	 0.5	 RED	 0.75205111664265	 0.0351420014191298
G	 0.0125	 1	 GREEN	 0.114235664799039	 0.0188162016738541
G	 0.0125	 1	 RED	 0.868028400117065	 0.0209633831617942
G	 0.025	 0	 GREEN	 0.98905989245318	 0
G	 0.025	 0	 RED	 0	 0
G	 0.025	 0.0625	 GREEN	 0.871027498121526	 0.135582243406761
G	 0.025	 0.0625	 RED	 0.000509411884744568	 3.02633772781346e-06
G	 0.025	 0.125	 GREEN	 0.855564450687347	 0.148170801547944
G	 0.025	 0.125	 RED	 0.000306499393023306	 0.000117199036609403
G	 0.025	 0.25	 GREEN	 0.647246424031403	 0.0479302345875357
G	 0.025	 0.25	 RED	 0.103232762803108	 0.0704674774152225
G	 0.025	 0.5	 GREEN	 0.0352557120540029	 0.00661937853428758
G	 0.025	 0.5	 RED	 0.940843533573135	 0.00405206418417554
G	 0.025	 1	 GREEN	 0.017352049188783	 0.00818857274682124
G	 0.025	 1	 RED	 0.975800326057283	 0.00831311891169854
G	 0.05	 0	 GREEN	 0.910888331940964	 0
G	 0.05	 0	 RED	 0.000742597233825304	 0
G	 0.05	 0.0625	 GREEN	 0.979347214158874	 0.00484905377911502
G	 0.05	 0.0625	 RED	 0.00131356490515111	 0.000359643590718672
G	 0.05	 0.125	 GREEN	 0.978504313943439	 0.00335083046317535
G	 0.05	 0.125	 RED	 0.00267388391199425	 0.000506412266067546
